Date,Open,High,Low,Close,Adj Close,Volume
2021-04-21,114.262497,114.765999,112.928497,114.664497,114.664497,23930000
2021-04-22,114.661499,115.188103,112.822502,113.396004,113.396004,21096000
2021-04-23,114.173500,116.291000,113.910500,115.764999,115.764999,28670000
2021-04-26,115.996498,117.063004,115.692001,116.336998,116.336998,20834000
2021-04-27,116.800003,116.872498,115.213501,115.356003,115.356003,31972000
2021-04-28,120.357246,122.618896,118.742500,118.995499,118.995499,59728000
2021-04-29,120.516502,121.825996,120.113998,121.494499,121.494499,39554000
2021-04-30,120.224503,121.357002,120.108002,120.505997,120.505997,39142000
2021-05-03,120.136002,120.985001,119.224998,119.758499,119.758499,33788000
2021-05-04,118.487000,118.962997,115.584999,117.712502,117.712502,35120000
2021-05-05,118.420998,119.110001,117.570503,117.836998,117.836998,21806000
2021-05-06,117.531998,119.135498,117.116898,119.067497,119.067497,20618000
2021-05-07,120.000000,120.820503,119.500000,119.934502,119.934502,23272000
2021-05-10,118.744499,118.900002,116.736504,117.083000,117.083000,26006000
2021-05-11,114.593002,116.099998,114.150002,115.438004,115.438004,32110000
2021-05-12,113.085503,114.268501,111.502502,111.954002,111.954002,34934000
2021-05-13,113.054497,113.830048,112.136002,113.098503,113.098503,26670000
2021-05-14,114.591499,116.056999,114.166000,115.807999,115.807999,26624000
2021-05-17,115.466003,116.167000,114.750000,116.070503,116.070503,19842000
2021-05-18,116.845299,117.157501,115.157997,115.171501,115.171501,17302000
2021-05-19,113.220001,115.837997,113.176003,115.435501,115.435501,19350000
2021-05-20,116.402000,118.016998,116.054497,117.804497,117.804497,23832000
2021-05-21,118.299500,118.449997,117.118500,117.254997,117.254997,22832000
2021-05-24,118.349998,120.924004,118.005501,120.333504,120.333504,21244000
2021-05-25,121.000000,121.644501,120.149498,120.453499,120.453499,18838000
2021-05-26,120.641747,122.147202,120.625748,121.676498,121.676498,21856000
2021-05-27,121.847000,122.000000,120.099998,120.125504,120.125504,38962000
2021-05-28,121.098000,121.406998,120.384499,120.578003,120.578003,24108000
2021-06-01,121.099998,121.898552,120.244003,121.490501,121.490501,19166000
2021-06-02,121.765503,122.099998,120.209999,121.064003,121.064003,17158000
2021-06-03,119.750999,120.487251,119.141502,120.230499,120.230499,18346000
2021-06-04,121.125999,122.692947,120.888496,122.587997,122.587997,25948000
2021-06-07,122.566002,123.400002,122.053650,123.304497,123.304497,23850000
2021-06-08,123.995003,124.724747,123.412003,124.142502,124.142502,25060000
2021-06-09,124.974998,125.250000,124.366501,124.570000,124.570000,20126000
2021-06-10,124.700500,126.163002,124.699997,126.080002,126.080002,31234000
2021-06-11,126.246002,126.349503,124.914497,125.696503,125.696503,25240000
2021-06-14,125.669502,126.411499,125.046997,126.351997,126.351997,22550000
2021-06-15,126.522003,126.862000,125.648499,126.032997,126.032997,22182000
2021-06-16,126.247498,126.523499,124.149948,125.696503,125.696503,26316000
2021-06-17,125.523003,127.196503,125.514999,126.371002,126.371002,25756000
2021-06-18,125.705498,126.389000,124.602997,125.567497,125.567497,53306000
2021-06-21,125.739998,127.036751,125.134247,126.455002,126.455002,26256000
2021-06-22,126.449997,127.269997,126.026497,126.999496,126.999496,20984000
2021-06-23,126.550003,127.795998,126.251999,126.461502,126.461502,19694000
2021-06-24,127.053497,127.535500,126.959999,127.281998,127.281998,18934000
2021-06-25,126.957001,127.504997,126.444000,126.995003,126.995003,33484000
2021-06-28,127.000000,127.336998,125.973801,126.819504,126.819504,28110000
